PWSID,Water System Name,Water System Website,CCR, Population , Service Connections , Median Household Income , Water Bill ,Hours of Minimum Wage,Governance Type,Leadership Mechanism,Upcoming Election,GoverningBody, Average Governing Body Compensation ,Leadership Pop_Asian,Leadership Pop_Black,Leadership Pop_Hispanic,Leadership Pop_NA,Leadership Pop_TwoOrMore,Leadership Pop_White,Required Operator,Highest Operator On Staff,RiskScore,Water Quality Violations 2015-2019,Primary Water Source
CA1910039,SAN GABRIEL VALLEY WATER CO.-EL MONTE,https://www.sgvwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910039.pdf," 260,500 "," 46,346 "," $65,030 ", $68.30 ,5,Investor Owned Utility,No Data,No data,N/A,  No Compensation Data  ,0,0,0,0,0,0,T5,T4,Not In Risk Assessment,0,GW
CA1910189,SAN GABRIEL VALLEY WATER CO.-MONTEBELLO,https://www.sgvwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910189.pdf," 8,641 "," 1,581 "," $79,462 ", $68.46 ,5,Investor Owned Utility,No Data,No data,N/A,  No Compensation Data  ,0,1,0,0,0,0,None,T4,Not At-Risk,0,GWP
CA1910054,LA CANADA IRRIGATION DIST.,https://www.lacanadaid.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910054.pdf," 9,300 "," 2,939 "," $149,020 ", $68.53 ,5,Irrigation District,Municipal Election,No data,Board of Directors," $1,200 ",0,0,0,0,0,0,D3,T3,Not At-Risk,0,SWP
CA1910033,CALIFORNIA WATER SERVICE CO. - DOMINGUEZ,https://www.calwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910033.pdf," 143,017 "," 32,937 "," $82,906 ", $68.66 ,5,Investor Owned Utility,Stakeholder Election,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,11,T2,T2,Not In Risk Assessment,0,SWP
CA1910134,CALIFORNIA WATER SERVICE CO. - HERM/REDO,https://www.calwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910134.pdf," 96,314 "," 26,669 "," $93,761 ", $68.66 ,5,Investor Owned Utility,No Data,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T1,T2,Not In Risk Assessment,0,SWP
CA1910104,CALIFORNIA WATER SERVICE CO. - PALOS VER,https://www.calwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910104.pdf," 70,271 "," 24,059 "," $139,084 ", $68.66 ,5,Investor Owned Utility,Stakeholder Election,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,None,T3,Not In Risk Assessment,0,SWP
CA1910092,"MONTEREY PARK-CITY, WATER DEPT.",https://www.montereypark.ca.gov/372/Utility-Billing,https://drinc.ca.gov/ear/CCR/CCR2019CA1910092.pdf," 62,183 "," 13,631 "," $63,640 ", $69.31 ,5,City/Municipal,Municipal Election,2022,City Council," $6,480 ",4,0,1,0,0,0,T4,T4,Not In Risk Assessment,0,GW
CA1910052,CAL/AM WATER COMPANY - BALDWIN HILLS,https://www.amwater.com/caaw/water-quality/water-quality-reports/baldwin-hills,https://drinc.ca.gov/ear/CCR/CCR2019CA1910052.pdf," 20,453 "," 6,198 "," $93,175 ", $71.89 ,5,Investor Owned Utility,Stakeholder Election,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T1,T4,Not In Risk Assessment,0,SWP
CA1910050,"COMMERCE-CITY, WATER DEPT.",https://www.ci.commerce.ca.us/residents/utilities,https://drinc.ca.gov/ear/CCR/CCR2019CA1910050.pdf," 4,203 ", 989 ," $50,030 ", $73.09 ,5,City/Municipal,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,T2,T3,Not At-Risk,0,SWP
CA1910152,"SOUTH GATE-CITY, WATER DEPT.",http://www.cityofsouthgate.org/225/Public-Works,https://drinc.ca.gov/ear/CCR/CCR2019CA1910152.pdf," 88,654 "," 14,425 "," $51,886 ", $73.88 ,5,City/Municipal,Municipal Election,No data,City Council," $7,800 ",0,0,5,0,0,0,T2,T3,Not In Risk Assessment,0,GW
CA1910061,LAS FLORES WATER CO.,https://www.lasfloreswaterco.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910061.pdf," 4,844 "," 1,479 "," $105,250 ", $75.77 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T2,T2,Potentially At-Risk,0,SWP
CA1910063,LINCOLN AVENUE WATER CO.,https://lawc.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910063.pdf," 16,126 "," 4,476 "," $88,765 ", $75.80 ,6,Mutual Water Company,No Data,No data,Board of Directors/Officers," $10,878 ",0,1,1,0,0,3,T2,T3,Not In Risk Assessment,0,SW
CA1910148,"SIERRA MADRE-CITY, WATER DEPT.",https://www.cityofsierramadre.com/residents/utilities/water,https://drinc.ca.gov/ear/CCR/CCR2019CA1910148.pdf," 11,000 "," 3,804 "," $96,173 ", $75.85 ,6,City/Municipal,Municipal Election,No data,City Council,  No Compensation Data  ,1,0,0,0,0,4,T2,T2,Not In Risk Assessment,0,GW
CA1910191,"NORWALK - CITY, WATER DEPT.",https://www.norwalk.org/city-hall/departments/public-services/water-sewer-services,https://drinc.ca.gov/ear/CCR/CCR2019CA1910191.pdf," 12,794 "," 5,322 "," $65,238 ", $76.15 ,6,City/Municipal,Municipal Election,2022,City Council,  No Compensation Data  ,0,0,4,0,0,2,T1,T2,Not In Risk Assessment,0,SWP
CA1910079,"LYNWOOD-CITY, WATER DEPT.",http://lynwood.ca.us/public-works/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910079.pdf," 70,492 "," 9,136 "," $56,060 ", $76.35 ,6,City/Municipal,Municipal Election,No data,City Council," $11,700 ",0,0,5,0,0,0,Any Level,T2,Not In Risk Assessment,0,SWP
CA1910073,"LOMITA-CITY, WATER DEPT.",https://www.lomitawater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910073.pdf," 20,320 "," 4,384 "," $71,302 ", $76.81 ,5,City/Municipal,Municipal Election,No data,City Council," $4,680 ",0,0,0,0,0,5,T2,T3,Not In Risk Assessment,1,SWP
CA1910036,CALIFORNIA WATER SERVICE CO. - ELA,https://www.calwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910036.pdf," 151,300 "," 26,115 "," $47,398 ", $77.21 ,6,Investor Owned Utility,Stakeholder Election,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T2,T3,Not In Risk Assessment,0,SWP
CA1910044,"GLENDORA-CITY, WATER DEPT.",https://www.cityofglendora.org/departments-services/public-works/water,https://drinc.ca.gov/ear/CCR/CCR2019CA1910044.pdf," 44,444 "," 13,468 "," $91,365 ", $79.10 ,6,City/Municipal,Municipal Election,No data,City Council," $10,800 ",0,0,0,0,0,5,T2,T2,Not In Risk Assessment,0,SWP
CA1910083,"MANHATTAN BEACH-CITY, WATER DEPT.",https://www.manhattanbeach.gov/departments/finance/revenue-services/water-and-refuse,https://drinc.ca.gov/ear/CCR/CCR2019CA1910083.pdf," 35,135 "," 13,446 "," $168,323 ", $79.64 ,6,City/Municipal,Municipal Election,No data,City Council, $500 ,0,0,0,0,0,5,T2,T3,Not In Risk Assessment,0,SWP
CA1910011,"GSWC - BELL, BELL GARDENS",https://www.gswater.com/central-basin-west,https://drinc.ca.gov/ear/CCR/CCR2019CA1910011.pdf," 58,039 "," 7,332 "," $42,475 ", $82.40 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T2,T3,Not In Risk Assessment,0,SWP
CA1910077,GSWC - FLORENCE/GRAHAM,https://www.gswater.com/central-basin-west,https://drinc.ca.gov/ear/CCR/CCR2019CA1910077.pdf," 66,203 "," 9,682 "," $44,614 ", $82.40 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T2,T3,Not In Risk Assessment,0,SWP
CA1910195,GSWC - HOLLYDALE,https://www.gswater.com/central-basin-west,https://drinc.ca.gov/ear/CCR/CCR2019CA1910195.pdf," 7,706 "," 1,667 "," $57,492 ", $82.40 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,8,T2,T3,Not At-Risk,0,GW
CA1910004,GSWC - ARTESIA,https://www.gswater.com/central-basin-east,https://drinc.ca.gov/ear/CCR/CCR2019CA1910004.pdf," 48,255 "," 10,728 "," $67,810 ", $82.40 ,6,Investor Owned Utility,Appointment,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T2,T3,Not In Risk Assessment,0,SWP
CA1910098,GSWC - NORWALK,https://www.gswater.com/central-basin-east,https://drinc.ca.gov/ear/CCR/CCR2019CA1910098.pdf," 43,874 "," 9,341 "," $71,240 ", $82.40 ,6,Investor Owned Utility,Appointment,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T2,T3,Not In Risk Assessment,0,SWP
CA1910030,GSWC - CULVER CITY,https://www.gswater.com/culver-city,https://drinc.ca.gov/ear/CCR/CCR2019CA1910030.pdf," 36,271 "," 9,268 "," $99,421 ", $82.40 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,1,1,0,0,7,T1,T3,Not In Risk Assessment,0,SWP
CA1910072,GSWC - WILLOWBROOK,https://www.gswater.com/central-basin-west,https://drinc.ca.gov/ear/CCR/CCR2019CA1910072.pdf," 11,037 "," 1,441 "," $42,844 ", $82.40 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T1,T3,Not At-Risk,0,GW
CA1910155,GSWC - SOUTHWEST,https://www.gswater.com/southwest,https://drinc.ca.gov/ear/CCR/CCR2019CA1910155.pdf," 274,647 "," 51,764 "," $56,927 ", $82.40 ,6,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T2,T3,Not In Risk Assessment,0,SWP
CA1910154,CITY OF SOUTH PASADENA,https://www.southpasadenaca.gov/government/departments/public-works/water-division,https://drinc.ca.gov/ear/CCR/CCR2019CA1910154.pdf," 26,174 "," 6,163 "," $110,433 ", $82.58 ,6,City/Municipal,Municipal Election,No data,City Council," $3,600 ",1,0,0,0,0,4,T2,T3,Not In Risk Assessment,0,SWP
CA1910194,ROWLAND WATER DISTRICT,https://www.rowlandwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910194.pdf," 55,038 "," 13,202 "," $75,400 ", $83.60 ,6,Special District,Municipal Election,No data,Board of Directors," $6,415 ",1,0,1,0,0,4,None,T2,Not In Risk Assessment,0,SWP
CA1910026,"COMPTON-CITY, WATER DEPT.",http://www.comptoncity.org/depts/mu/waterutil/default.asp,https://drinc.ca.gov/ear/CCR/CCR2019CA1910026.pdf," 79,898 "," 14,384 "," $53,204 ", $83.75 ,6,City/Municipal,Municipal Election,No data,City Council,  No Compensation Data  ,0,4,1,0,0,0,Any Level,T4,Not In Risk Assessment,0,SWP
CA1910067,"LOS ANGELES-CITY, DEPT. OF WATER & POWER",https://www.ladwp.com/ladwp/faces/ladwp;jsessionid=X7BbhvnPpYJMNqWrymLX0lMYqCr5RfzmyRxT221TJ20pqV0Yq6vp!887757058?_afrLoop=115277819377043&_afrWindowMode=0&_afrWindowId=null#%40%3F_afrWindowId%3Dnull%26_afrLoop%3D115277819377043%26_afrWindowMode%3D0%26_adf.ctrl-state%3D1duasu2qs3_4,https://drinc.ca.gov/ear/CCR/CCR2019CA1910067.pdf," 4,070,679 "," 709,135 "," $67,521 ", $84.36 ,6,City/Municipal,Municipal Election,No data,City Council," $213,201 ",2,3,5,0,0,6,T5,T5,Not In Risk Assessment,1,SW
CA1910241,MESA CREST WATER CO.,https://sdwis.waterboards.ca.gov/PDWW/index.jsp,https://drinc.ca.gov/ear/CCR/CCR2019CA1910241.pdf," 2,323 ", 704 ,   No MHI Data   , $85.34 ,6,Investor Owned Utility,No Data,No data,No Data,  No Compensation Data  ,0,0,0,0,0,0,None,None,Not At-Risk,0,No Data
CA1910244,GREEN VALLEY CWD,https://gvcwd.org/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910244.pdf," 1,190 ", 499 ," $72,230 ", $90.00 ,6,Special District,Municipal Election,No data,Board of Directors, $530 ,0,0,0,0,0,0,T1,T3,Not At-Risk,0,GW
CA1910010,CALIFORNIA WATER SERVICE CO.-LANCASTER,https://www.calwater.com/#,https://drinc.ca.gov/ear/CCR/CCR2019CA1910010.pdf," 4,806 ", 670 ," $70,751 ", $95.41 ,7,Investor Owned Utility,No Data,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,11,Any Level,T2,Not At-Risk,0,GW
CA1910242,CALIFORNIA WATER SERVICE CO-LAKE HUGHES,https://www.calwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910242.pdf, 260 , 202 ," $90,214 ", $95.41 ,7,Investor Owned Utility,No Data,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T2,T2,Not At-Risk,0,GW
CA1910243,CALIFORNIA WATER SERVICE CO-LEONA VALLEY,https://www.calwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910243.pdf," 1,244 ", 426 ," $115,679 ", $95.41 ,7,Investor Owned Utility,No Data,2022,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T2,T2,Potentially At-Risk,0,SWP
CA1910028,CRESCENTA VALLEY CWD,https://www.cvwd.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910028.pdf," 33,203 "," 8,004 "," $98,068 ", $102.70 ,7,Special District,Municipal Election,No data,Board of Directors," $2,695 ",0,0,0,0,0,5,T3,T4,Not In Risk Assessment,0,SWP
CA1910021,LIBERTY UTILITIES - COMPTON,https://california.libertyutilities.com/compton/residential/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910021.pdf," 23,802 "," 6,978 "," $56,095 ", $102.74 ,7,Investor Owned Utility,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,1,0,0,9,T1,T5,Not In Risk Assessment,0,SWP
CA1910161,LIBERTY UTILITIES - LYNWOOD,https://california.libertyutilities.com/compton/residential/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910161.pdf," 34,171 "," 4,480 "," $58,017 ", $102.74 ,7,Investor Owned Utility,Stakeholder Election,No data,Board of Directors,  No Compensation Data  ,0,0,1,0,0,9,T2,T5,Not In Risk Assessment,0,SWP
CA1910211,LIBERTY UTILITIES - BELLFLOWER-NORWALK,https://california.libertyutilities.com/compton/residential/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910211.pdf," 72,964 "," 16,599 "," $72,668 ", $102.74 ,7,Investor Owned Utility,Stakeholder Election,No data,Board of Directors,  No Compensation Data  ,0,0,1,0,0,9,T1,T5,Not In Risk Assessment,0,SWP
CA1910075,LOS ANGELES CWWD 21-KAGEL CANYON,https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910075.pdf, 546 , 246 ,   No MHI Data   , $119.55 ,8,County,No Data,No data,LA County Board of Supervisors," $214,601 ",0,1,1,0,0,3,None,T2,Not At-Risk,0,SWP
CA1910035,KINNELOA IRRIGATION DIST.,https://www.kinneloairrigationdistrict.info/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910035.pdf," 1,940 ", 588 ," $129,377 ", $120.69 ,8,Irrigation District,Municipal Election,No data,Board of Directors," $1,300 ",0,0,0,0,0,0,Any Level,T2,Not At-Risk,0,GW
CA1910204,LOS ANGELES CWWD 29 & 80-MALIBU,https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910204.pdf," 30,361 "," 7,263 ",   No MHI Data   , $134.07 ,8,County,No Data,No data,LA County Board of Supervisors," $214,601 ",0,1,1,0,0,3,T1,T2,Not In Risk Assessment,0,SWP
CA1910199,CALIFORNIA DOMESTIC WATER COMPANY,https://caldomestic.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910199.pdf,  -  , 21 ," $116,088 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,Stakeholder Election,No data,Board of Directors/Officers," $53,937 ",0,0,0,0,0,0,T5,T5,Not In Risk Assessment,0,GW
CA1910023,AVERYDALE MWC,https://amwclancaster.org/,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2502&tinwsys_st_code=CA&wsnumber=CA1910023, 964 , 292 ," $42,250 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors, $206 ,0,0,0,0,0,0,None,T2,Not At-Risk,0,GW
CA1900146,SUNNYSIDE FARMS MUTUAL WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2230&tinwsys_st_code=CA&wsnumber=CA1900146,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2230&tinwsys_st_code=CA, 326 , 147 ," $110,726 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors, $373 ,0,0,0,0,0,0,None,T2,Not At-Risk,0,GW
CA1910246,LAND PROJECTS MUTUAL WATER CO.,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2637&tinwsys_st_code=CA&wsnumber=CA1910246,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2637&tinwsys_st_code=CA&wsnumber=CA1910246," 1,500 ", 544 ," $54,066 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors, $600 ,0,0,0,0,0,0,Any Level,T2,HR2W,23,GW
CA1910165,VALLEY VIEW MUTUAL WATER CO.,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2602&tinwsys_st_code=CA&wsnumber=CA1910165,https://drinc.ca.gov/ear/CCR/CCR2019CA1910165.pdf," 4,571 "," 1,389 "," $69,850 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors," $1,065 ",0,0,0,0,0,0,Any Level,T1,Not At-Risk,0,GW
CA1900301,SHADOW ACRES MUTUAL WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2255&tinwsys_st_code=CA&wsnumber=CA1900301,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2255&tinwsys_st_code=CA&wsnumber=CA1900301, 431 , 154 ," $110,653 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors," $1,350 ",0,0,0,0,0,0,None,T2,Not At-Risk,0,GW
CA1910249,WHITE FENCE FARMS MWC NO. 1,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2640&tinwsys_st_code=CA&wsnumber=CA1910249,https://drinc.ca.gov/ear/CCR/CCR2019CA1910249.pdf," 1,145 ", 454 ,   No MHI Data   , No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors," $1,363 ",0,0,0,0,0,0,T2,T2,HR2W,0,SWP
CA1910166,VALLEY WATER CO.,http://valleywatercompany.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1910166.pdf," 10,070 "," 3,599 "," $190,318 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors," $1,584 ",0,0,0,0,0,0,T3,T3,Not In Risk Assessment,0,SWP
CA1910012,BELLFLOWER HOME GARDEN WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2491&tinwsys_st_code=CA&wsnumber=CA1910012,https://drinc.ca.gov/ear/CCR/CCR2018CA1910012.pdf," 1,129 ", 342 ," $55,166 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors," $2,520 ",0,0,1,0,0,4,T1,T2,Not At-Risk,0,SWP
CA1900145,REESEDALE MUTUAL,https://reesedalemutualwater.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1900145.pdf, 76 , 23 ," $49,625 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,None,None,Not At-Risk,0,GW
CA1900804,EVERGREEN MUTUAL WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2377&tinwsys_st_code=CA&wsnumber=CA1900804,https://drinc.ca.gov/ear/CCR/CCR2019CA1900804.pdf, 95 , 46 ," $56,757 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,None,T2,Not At-Risk,1,GW
CA1900809,LANDALE MUTUAL WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2381&tinwsys_st_code=CA&wsnumber=CA1900809,https://drinc.ca.gov/ear/CCR/CCR2018CA1900809.pdf, 752 , 166 ," $58,949 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,T1,T2,Not At-Risk,0,GW
CA1900523,WHITE FENCE FARMS MWC NO.3,http://whitefencefarms3.com/,https://drinc.ca.gov/ear/CCR/CCR2019CA1900523.pdf, 749 , 253 ," $74,993 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors,  No Compensation Data  ,0,0,0,0,0,0,Any Level,T2,Not At-Risk,0,SWP
CA1910160,TRACT 349 MUTUAL WATER CO.,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2599&tinwsys_st_code=CA&wsnumber=CA1910160,https://drinc.ca.gov/ear/CCR/CCR2019CA1910160.pdf," 7,500 ", 919 ," $44,951 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors/ Officers," $28,407 ",0,0,0,0,0,5,Any Level,T2,Not At-Risk,0,GW
CA1910158,STERLING MUTUAL WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2597&tinwsys_st_code=CA&wsnumber=CA1910158,https://drinc.ca.gov/ear/CCR/CCR2018CA1910158.pdf, 548 , 196 ," $67,758 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Board of Directors/Officers,  No Compensation Data  ,0,0,0,0,0,0,None,None,Not At-Risk,0,GW
CA1910049,"HUNTINGTON PARK-CITY, WATER DEPT.",https://www.hpca.gov/76/Water-Sewer-Division,https://drinc.ca.gov/ear/CCR/CCR2019CA1910049.pdf," 15,414 "," 5,572 "," $43,493 ", No Water Bill Data ,No Water Bill Data,City/Municipal,Municipal Election,2022,City Council," $14,744 ",0,0,4,0,0,1,T1,T3,Not In Risk Assessment,0,SWP
CA1910147,SATIVA-L.A. CWD,https://www.sativawd.com/,https://sdwis.waterboards.ca.gov/PDWW/," 6,837 "," 1,643 "," $47,652 ", No Water Bill Data ,No Water Bill Data,County,No Data,No data,LA County Board of Supervisors," $214,601 ",0,0,0,0,0,1,Any Level,T3,Not At-Risk,0,GW
CA1910027,"LOS ANGELES CWWD 40, REG. 35-N.E. L.A.",https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910027.pdf, 798 , 219 ,   No MHI Data   , No Water Bill Data ,No Water Bill Data,County,Appointment,No data,LA County Board of Supervisors," $214,601 ",0,1,1,0,0,3,T1,T3,Not At-Risk,0,GW
CA1910025,"LOS ANGELES CWWD 40, REG. 39-ROCK CREEK",https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910025.pdf," 1,311 ", 347 ,   No MHI Data   , No Water Bill Data ,No Water Bill Data,County,No Data,No data,LA County Board of Supervisors," $214,601 ",0,1,1,0,0,3,T1,T3,Not At-Risk,0,SWP
CA1910070,"LOS ANGELES CWWD 40,REG 4 & 34-LANCASTER",https://dpw.lacounty.gov/wwd/web/YourWater/WaterSources.aspx,https://drinc.ca.gov/ear/CCR/CCR2019CA1910070.pdf," 184,809 "," 50,885 ",   No MHI Data   , No Water Bill Data ,No Water Bill Data,County,No Data,No data,LA County Board of Supervisors," $214,601 ",0,1,1,0,0,3,T2,T3,Not In Risk Assessment,0,SWP
CA1900130,DEL RIO MUTUAL,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2224&tinwsys_st_code=CA&wsnumber=CA1900130,https://drinc.ca.gov/ear/CCR/CCR2019CA1900130.pdf, 700 , 133 ," $53,127 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Officer,  No Compensation Data  ,0,0,0,0,0,0,None,None,Not At-Risk,0,GW
CA1900102,WESTSIDE PARK MUTUAL WATER,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2212&tinwsys_st_code=CA&wsnumber=CA1900102,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2212&tinwsys_st_code=CA, 485 , 158 ," $110,542 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Officers," $3,728 ",0,0,0,0,0,0,T1,T2,Not At-Risk,0,GW
CA1900794,ANTELOPE PARK MUTUAL WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2372&tinwsys_st_code=CA&wsnumber=CA1900794,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2372&tinwsys_st_code=CA&wsnumber=CA1900794, 445 , 152 ," $47,431 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Officers," $7,143 ",0,0,0,0,0,0,T1,T5,Not At-Risk,0,GW
CA1910053,HEMLOCK MUTUAL WATER CO.,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2532&tinwsys_st_code=CA&wsnumber=CA1910053,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2532&tinwsys_st_code=CA&wsnumber=CA1910053, 686 , 208 ," $51,353 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Officers,  No Compensation Data  ,0,0,0,0,0,0,Any Level,D3 (no T),Potentially At-Risk,0,GW
CA1900303,LLANO MUTUAL WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2256&tinwsys_st_code=CA&wsnumber=CA1900303,https://drinc.ca.gov/ear/CCR/CCR2019CA1900303.pdf, 264 , 78 ," $51,359 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Officers,  No Compensation Data  ,0,0,0,0,0,0,NA,T1,Not At-Risk,0,GWP
CA1910002,AMARILLO MUTUAL WATER COMPANY,https://sdwis.waterboards.ca.gov/PDWW/JSP/WaterSystemDetail.jsp?tinwsys_is_number=2481&tinwsys_st_code=CA&wsnumber=CA1910002,https://drinc.ca.gov/ear/CCR/CCR2019CA1910002.pdf," 3,134 ", 627 ," $62,279 ", No Water Bill Data ,No Water Bill Data,Mutual Water Company,No Data,No data,Officers,  No Compensation Data  ,0,0,0,0,0,0,Any Level,T3,Not At-Risk,0,GW
